record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,light_exposure_diary_timestamp,mhla_confirm,mhlea_confidence,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,light_exposure_diary_complete
RISE_S001,,,,,,,,,,,,,,
RISE_S001,light_exposure_diary,1,,,1,4,7E09FDD0-F879-11EF-85B0-C36CE28D9CF5,"2025-03-03 22:50:16","2025-03-03 22:50:35",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-03-03 22:50:36"",    ""utcTime"": ""2025-03-03 21:50:16.109465Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""100""  }",result.zip,0
RISE_S001,light_exposure_diary,2,,,1,4,A726AEF0-F943-11EF-85B0-C36CE28D9CF5,"2025-03-04 22:57:23","2025-03-04 22:57:39",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-03-04 22:57:39"",    ""utcTime"": ""2025-03-04 21:57:23.423019Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""100""  }",result.zip,0
RISE_S001,light_exposure_diary,3,,,1,4,7E8E1640-FA0B-11EF-85B0-C36CE28D9CF5,"2025-03-05 22:47:54","2025-03-05 22:48:15",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-03-05 22:48:16"",    ""utcTime"": ""2025-03-05 21:47:54.660553Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""100""  }",result.zip,0
RISE_S001,light_exposure_diary,4,,,1,4,3DCA7E30-FADA-11EF-85B0-C36CE28D9CF5,"2025-03-06 23:27:51","2025-03-06 23:28:01",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-03-06 23:28:02"",    ""utcTime"": ""2025-03-06 22:27:51.827798Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""100""  }",result.zip,0
RISE_S001,light_exposure_diary,5,,,1,4,EDB79CE0-FB9F-11EF-9E1C-17C417AC77DB,"2025-03-07 23:02:57","2025-03-07 23:03:09",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-03-07 23:03:10"",    ""utcTime"": ""2025-03-07 22:02:57.838588Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""100""  }",result.zip,0
RISE_S001,light_exposure_diary,6,,,1,4,8C6A3EE0-FD32-11EF-9E1C-17C417AC77DB,"2025-03-09 23:05:01","2025-03-09 23:05:10",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.1"",    ""syncdate"": ""2025-03-09 23:05:11"",    ""utcTime"": ""2025-03-09 22:05:01.774044Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.2.0"",    ""buildnumber"": ""155"",    ""configversion"": ""4"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""100""  }",result.zip,0
